Action: planned order proc (ZZMDACC),Order,Material Number,Order Qty (Alt UoM) (ZZGAMNG) (ZZALTUOM),Reducd Qty Alt Uom (ZZABMNG) (ZZALTUOM),Open Qty. (ZZOPENQTY) (ZZALTUOM),Alt. Unit of Meas (ZZALTUOM) (=ZZALTUOM),Net Qty. (ZZNETQTY) (ZZALTUOM),Categorie (Icon),Order Type,MRP controller,Prodn Supervisor,Plant,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Material description,Date of action: planned order (ZZMDACD),Action handler: planned order processing,Manufacturer SKU (ZZMFGSKU),Plant-Specific Material Status (ZZMMSTA),Priority (ZZPRIORITY),Product Line (ZZPROD_LINE),Size (ZZSIZE),Week on Hand (ZZWOH) (ZZALTUOM),Work Center (ZZWORK_CENTER),Characteristic Value (ZZATWRT),Brand (ZZBRAND),Min. Lot Size (ZZBSTMI) (ZZALTUOM),Color (ZZCOLOR),Customer (ZZCUSTOMER),Delv Qty Alt Uom (ZZGWEMG) (ZZALTUOM),MRP Controller Description (ZZDSNAM),Logistics Code (ZZLOGCODE)
ZZRL,229656718,010036MOD1P4,"91,308.000",0.000,"91,308.000",FT2,"672,000.000",,PE,M02,S03,4610,"730,464",PC,8/17/2026,8/23/2026,3X6 MOD       0100   WHITE           STD,7/31/2026,Z1,M010036MOD,,,COLOR WHEEL CLASSIC,36MOD,-894.214,WK1136MD,?,DB,10.000,0100,,0.000,E284381,I
ZZRL,229656721,010936MOD1P2,"15,218.000",0.000,"15,218.000",FT2,"112,000.000",,PE,M02,S03,4610,"121,744",PC,8/17/2026,8/23/2026,3X6 MODULAR     0109 ARCHITECT GRAY  STD,7/31/2026,Z1,,,,COLOR WHEEL CLASSIC,36MOD,-424.733,WK1136MD,?,DB,10.000,0109,,0.000,E284381,I
,229735450,019036MOD1P4,"84,000.000",0.000,"84,000.000",FT2,"618,215.000",,PE,M02,S03,4610,"672,000",PC,8/17/2026,8/23/2026,"Arctic White, Rectangle, 3X6, Glossy",,Z1,M019036MOD,,,COLOR WHEEL CLASSIC,36MOD,-439.959,WK1136MD,?,DB,10.000,0190,,0.000,E284381,I
ZZRL,229656722,019036MOD1P4,"167,398.000",0.000,"167,398.000",FT2,"1,232,000.000",,PE,M02,S03,4610,"1,339,184",PC,8/17/2026,8/23/2026,"Arctic White, Rectangle, 3X6, Glossy",7/31/2026,Z1,M019036MOD,,,COLOR WHEEL CLASSIC,36MOD,-439.959,WK1136MD,?,DB,10.000,0190,,0.000,E284381,I
ZZRL,229541235,0190412MOD1P1,"79,365.140",0.000,"79,365.140",FT2,"171,052.632",,PE,M02,S03,4610,"208,855.632",PC,8/17/2026,8/23/2026,"Arctic White, Rectangle, 4X12, Glossy",7/29/2026,Z1,,,,COLOR WHEEL LINEAR,412MOD,-120.270,WK0848MD,?,DB,10.000,0190,,0.000,E284381,I
ZZRL,229541265,AC25SQU44HDCGL,"18,372.200",0.000,"18,372.200",FT2,"133,333.333",,PE,M02,S03,4610,"174,973.333",PC,8/17/2026,8/23/2026,"Aloe, Square, 4X4, Hand Crafted, Glossy",7/29/2026,Z1,M019044,,,ARTCRAFTED,,-56.166,WK070404,?,DB,0.000,,,0.000,E284381,I
ZZRL,229541266,AC30SQU44HDCGL,"7,873.830",0.000,"7,873.830",FT2,"57,142.857",,PE,M02,S03,4610,"74,988.857",PC,8/17/2026,8/23/2026,"Drift, Square, 4X4, Hand Crafted, Glossy",7/29/2026,Z1,M019044,,,ARTCRAFTED,,-57.235,WK070404,?,DB,0.000,,,0.000,E284381,I
ZZRL,229715291,AK01312HD1P2,"33,333.000",0.000,"33,333.000",FT2,"120,000.000",,PE,M02,S03,4610,"133,332",PC,8/17/2026,8/23/2026,3x12 Handmade Wall AK01 Antique White,8/3/2026,Z1,,,,ARTEKO,412MOD,-10.517,WK0848MD,HD - Home Depot US,HS,10.000,0190,HD,0.000,E284381,I
ZZRL,229715290,CC18RCT312HDCGL,"26,637.668",0.000,"26,637.668",FT2,"94,892.916",,PE,M02,S03,4610,"105,321.916",PC,8/17/2026,8/23/2026,"Light Beige, Rectangle, 3X12, Handcrafte",8/3/2026,Z1,,,,CORE CRAFTED,412MOD,-76.122,WK0848MD,LW - Lowes US,HS,10.000,0190,LW,0.000,E284381,I
,229719918,CC20RCT312GL,"28,000.151",0.000,"28,000.151",FT2,"99,746.000",,PE,M02,S03,4610,"110,709",PC,8/17/2026,8/23/2026,"True White, Rectangle, 3X12, Glossy",,Z1,,,,CORE CLASSIC,412MOD,-36.186,WK0848MD,LW - Lowes US,HS,10.000,0190,LW,0.000,E284381,I
ZZRL,229541236,CC20RCT412GL,"72,299.634",0.000,"72,299.634",FT2,"169,302.326",,PE,M02,S03,4610,"188,315.326",PC,8/17/2026,8/23/2026,"True White, Rectangle, 4X12, Glossy",7/29/2026,Z1,,,,CORE CLASSIC,412MOD,-28.570,WK0848MD,LW - Lowes US,HS,10.000,0190,LW,0.000,E284381,I
,229719281,CE33SQU44HDCGL,"18,000.000",0.000,"18,000.000",FT2,"116,575.000",,PE,M02,S03,4610,"140,625",PC,8/17/2026,8/23/2026,"Ivy, Square, 4X4, Hand Crafted, Glossy",,Z1,M019044,,,CONTEMPEE,,-18.335,WK070404,?,DB,0.000,,,0.000,E284381,I
,229728156,HA28SQU44HDCGL,"28,000.000",0.000,"28,000.000",FT2,"181,339.000",,PE,M02,S03,4610,"218,750",PC,8/17/2026,8/23/2026,"Sage, Square, 4X4, Hand Crafted, Glossy",,Z1,M019044,,,HANDCRAFTED ARTISTRY,,-127.816,WK070404,LW - Lowes US,HS,0.000,,LW,0.000,E284381,I
,229728162,HA29SQU44HDCGL,"28,000.000",0.000,"28,000.000",FT2,"181,339.000",,PE,M02,S03,4610,"218,750",PC,8/17/2026,8/23/2026,"Tea Party, Square, 4X4, Hand Crafted, Gl",,Z1,M019044,,,HANDCRAFTED ARTISTRY,,-181.091,WK070404,LW - Lowes US,HS,0.000,,LW,0.000,E284381,I
ZZRL,229656720,K17536MOD1P4,"30,436.000",0.000,"30,436.000",FT2,"224,000.000",,PE,M02,S03,4610,"243,488",PC,8/17/2026,8/23/2026,"Biscuit, Rectangle, 3X6, Glossy",7/31/2026,Z1,MK17536MOD,,,COLOR WHEEL CLASSIC,36MOD,-475.763,WK1136MD,?,DB,10.000,K175,,0.000,E284381,I
ZZRL,229715289,LC15312HD1P2,"71,338.000","7,800.000","71,338.000",FT2,"256,800.000",,PE,M02,S03,4610,"285,352",PC,8/17/2026,8/23/2026,"White, Rectangle, 3X12, Undulated, Gloss",8/3/2026,Z1,,,,LUXECRAFT,412MOD,-18.932,WK0848MD,HD - Home Depot US,HS,10.000,0190,HD,0.000,E284381,I
ZZRL,229715292,RE15312HD1P2,"33,333.000",0.000,"33,333.000",FT2,"120,000.000",,PE,M02,S03,4610,"133,332",PC,8/17/2026,8/23/2026,"Bright White, Rectangle, 3X12, Glossy",8/3/2026,Z1,,,,RESTORE,412MOD,-24.869,WK0848MD,HD - Home Depot US,HS,10.000,0190,HD,0.000,E284381,I
,229725983,RE1536MODBHD1P4,"62,500.000",0.000,"62,500.000",FT2,"500,000.000",,PE,M02,S03,4610,"500,000",PC,8/17/2026,8/23/2026,3X6 BEVEL WALL TILE RE15 BRIGHT WHT STD,,Z1,,,,RESTORE,36MODB,"-1,320.867",WK1136MB,HD - Home Depot US,HS,0.000,190,HD,0.000,E284381,I
ZZRL,229656719,RE1536MODHD1P4,"121,744.000",0.000,"121,744.000",FT2,"896,000.000",,PE,M02,S03,4610,"973,952",PC,8/17/2026,8/23/2026,3X6 WALL TILE  RE15  BRIGHT  WHITE    ST,7/31/2026,Z1,,,,RESTORE,36MOD,-958.402,WK1136MD,HD - Home Depot US,HS,0.000,190,HD,0.000,E284381,I
,229727241,RE15412MODHD1P2,"95,999.400",0.000,"95,999.400",FT2,"226,350.000",,PE,M02,S03,4610,"252,630",PC,8/17/2026,8/23/2026,4X12 BRIGHT WHITE WALL TILE,,Z1,,,,RESTORE,412MOD,-508.488,WK0848MD,HD - Home Depot US,HS,10.000,0190,HD,0.000,E284381,I
ZZRL,229541237,RE15412MODHD1P2,"72,546.800",0.000,"72,546.800",FT2,"171,052.632",,PE,M02,S03,4610,"190,912.632",PC,8/17/2026,8/23/2026,4X12 BRIGHT WHITE WALL TILE,7/29/2026,Z1,,,,RESTORE,412MOD,-508.488,WK0848MD,HD - Home Depot US,HS,10.000,0190,HD,0.000,E284381,I
ZZRL,229541268,ZL06SQU44UND1P4,"10,498.475",0.000,"10,498.475",FT2,"76,190.476",,PE,M02,S03,4610,"99,985.476",PC,8/17/2026,8/23/2026,"China, Square, 4X4, Undulated, Glossy",7/29/2026,Z1,,,,ZELLIGE NEO,,-89.891,,?,MZ,0.000,,,0.000,E284381,I
ZZRL,229656695,ZL08SQU44UND1P4,"13,123.015",0.000,"13,123.015",FT2,"95,238.095",,PE,M02,S03,4610,"124,981.095",PC,8/17/2026,8/23/2026,"Argilla, Square, 4X4, Undulated, Glossy",7/31/2026,Z1,,,,ZELLIGE NEO,,-111.521,,?,MZ,0.000,,,0.000,E284381,I
,229733255,ZL11SQU44UND1P4,"104,999.895",0.000,"104,999.895",FT2,"762,020.000",,PE,M02,S03,4610,"999,999",PC,8/17/2026,8/23/2026,"Gesso, Square, 4X4, Undulated, Glossy",,Z1,,,,ZELLIGE NEO,,-96.794,,HC - Home Depot Canada,MZ,0.000,,HC,0.000,E284381,I
,229733256,ZL11SQU44UND1P4,"18,000.045",0.000,"18,000.045",FT2,"130,632.000",,PE,M02,S03,4610,"171,429",PC,8/17/2026,8/23/2026,"Gesso, Square, 4X4, Undulated, Glossy",,Z1,,,,ZELLIGE NEO,,-96.794,,HC - Home Depot Canada,MZ,0.000,,HC,0.000,E284381,I
ZZRL,229541269,ZL11SQU44UND1P4,"119,419.300",0.000,"119,419.300",FT2,"866,666.667",,PE,M02,S03,4610,"1,137,326.667",PC,8/17/2026,8/23/2026,"Gesso, Square, 4X4, Undulated, Glossy",7/29/2026,Z1,,,,ZELLIGE NEO,,-96.794,,HC - Home Depot Canada,MZ,0.000,,HC,0.000,E284381,I
