Action: planned order proc (ZZMDACC),Order,Material Number,Order Qty (Alt UoM) (ZZGAMNG) (ZZALTUOM),Reducd Qty Alt Uom (ZZABMNG) (ZZALTUOM),Open Qty. (ZZOPENQTY) (ZZALTUOM),Alt. Unit of Meas (ZZALTUOM) (=ZZALTUOM),Net Qty. (ZZNETQTY) (ZZALTUOM),Categorie (Icon),Order Type,MRP controller,Prodn Supervisor,Plant,Order quantity (GMEIN),Unit of measure (=GMEIN),Basic start date,Basic finish date,Material description,Date of action: planned order (ZZMDACD),Action handler: planned order processing,Manufacturer SKU (ZZMFGSKU),Plant-Specific Material Status (ZZMMSTA),Priority (ZZPRIORITY),Product Line (ZZPROD_LINE),Size (ZZSIZE),Week on Hand (ZZWOH) (ZZALTUOM),Work Center (ZZWORK_CENTER),Characteristic Value (ZZATWRT),Brand (ZZBRAND),Min. Lot Size (ZZBSTMI) (ZZALTUOM),Color (ZZCOLOR),Customer (ZZCUSTOMER),Delv Qty Alt Uom (ZZGWEMG) (ZZALTUOM),MRP Controller Description (ZZDSNAM),Logistics Code (ZZLOGCODE)
ZZRL,229367484,006144SP,"15,765.500",0.000,"15,765.500",FT2,"112,000.000",,PE,M02,S03,4610,"126,124",PC,8/10/2026,8/16/2026,"Matte Designer White, Square, 4X4, Matte",7/24/2026,Z1,M079044,,,COLOR STORY WALL,44,"-1,164.930",WK070404,?,AO,10.000,0061,,0.000,E284381,I
,229740397,013536MOD1P4,"42,000.000",0.000,"42,000.000",FT2,"309,107.000",,PE,M02,S03,4610,"336,000",PC,8/10/2026,8/16/2026,3X6 MOD     0135   ALMOND            STD,,Z1,M013536MOD,,,COLOR WHEEL CLASSIC,36MOD,-514.161,WK1136MD,?,DB,10.000,0135,,0.000,E284381,I
ZZRL,229367482,0148441P1,"15,765.500",0.000,"15,765.500",FT2,"112,000.000",,PE,M02,S03,4610,"126,124",PC,8/10/2026,8/16/2026,4X4             0148 SPA             STD,7/24/2026,Z1,M014844,,,COLOR WHEEL CLASSIC,44,-509.152,WK070404,?,DB,10.000,0148,,0.000,E284381,I
ZZRL,229367486,0169441P1,"15,765.500",0.000,"15,765.500",FT2,"112,000.000",,PE,M02,S03,4610,"126,124",PC,8/10/2026,8/16/2026,4X4             0169 WATERFALL       STD,7/24/2026,Z1,M016944,,,COLOR WHEEL CLASSIC,44,-408.360,WK070404,?,DB,10.000,0169,,0.000,E284381,I
ZZRL,229367466,018236MOD1P2,"30,436.000",0.000,"30,436.000",FT2,"224,000.000",,PE,M02,S03,4610,"243,488",PC,8/10/2026,8/16/2026,"Suede Gray, Rectangle, 3X6, Glossy",7/24/2026,Z1,,,,COLOR WHEEL CLASSIC,36MOD,-460.764,WK1136MD,?,DB,10.000,0182,,0.000,E284381,I
ZZRL,229656712,019036MOD1P4,"150,006.000",0.000,"150,006.000",FT2,"1,104,000.000",,PE,M02,S03,4610,"1,200,048",PC,8/10/2026,8/16/2026,"Arctic White, Rectangle, 3X6, Glossy",7/31/2026,Z1,M019036MOD,,,COLOR WHEEL CLASSIC,36MOD,-439.959,WK1136MD,?,DB,10.000,0190,,0.000,E284381,I
ZZRL,229541233,0190412MOD1P1,"61,050.020",0.000,"61,050.020",FT2,"131,578.947",,PE,M02,S03,4610,"160,657.947",PC,8/10/2026,8/16/2026,"Arctic White, Rectangle, 4X12, Glossy",7/29/2026,Z1,,,,COLOR WHEEL LINEAR,412MOD,-120.270,WK0848MD,?,DB,10.000,0190,,0.000,E284381,I
,229739433,076136MOD1P2,"28,000.000",0.000,"28,000.000",FT2,"206,071.000",,PE,M02,S03,4610,"224,000",PC,8/10/2026,8/16/2026,"Matte Urban Putty, Rectangle, 3X6, Matte",,Z1,,,,COLOR WHEEL CLASSIC,36MOD,-619.161,WK1136MD,?,DB,10.000,0761,,0.000,E284381,I
,229719318,AC29SQU44HDCGL,"18,000.045",0.000,"18,000.045",FT2,"130,632.000",,PE,M02,S03,4610,"171,429",PC,8/10/2026,8/16/2026,"Tide, Square, 4X4, Hand Crafted, Glossy",,Z1,M019044,,,ARTCRAFTED,,-62.207,WK070404,?,DB,0.000,,,0.000,E284381,I
ZZRL,229715285,AK01312HD1P2,"53,333.000",0.000,"53,333.000",FT2,"192,000.000",,PE,M02,S03,4610,"213,332",PC,8/10/2026,8/16/2026,3x12 Handmade Wall AK01 Antique White,8/3/2026,Z1,,,,ARTEKO,412MOD,-10.517,WK0848MD,HD - Home Depot US,HS,10.000,0190,HD,0.000,E284381,I
ZZRL,229541271,CA08SQU44HDCST,"10,498.475",0.000,"10,498.475",FT2,"76,190.476",,PE,M02,S03,4610,"99,985.476",PC,8/10/2026,8/16/2026,"Amalfi, Square, 4X4, Hand Crafted, Satin",7/29/2026,Z1,,,,COSTA MARA,,-86.148,,HD - Home Depot US,HS,0.000,,HD,0.000,E284381,I
