IRef,ItemNumber,LisQty,SalesQty,SalesUOM,PkgWeight,CartonUPC_NumSys,CartonUPC_Mfg,CartonUPC_Prod,CartonUPC_Chkdgt,CustomerChar,Grade,PkgIndicator,CardPrinter,LISDescription,Shade,BoxesPerPallet,NeedPalletLabel,Company,Status,Extract,ColorDesc,ShapeDesc,SeriesDesc,Brand,TypeOfTile,ColorId,SizeShape,WmsUOM,Plant,ProductType,SingleUPC_NumSys,SingleUPC_Mfg,SingleUPC_Prod,SingleUPC_Chkdgt,PEI,WA,COF,Tone,CreateUser,UpdateUser,CreateDate,UpdateDate,LabelTypeCode,LastScheduleOrder,OpenQty,ScheduleDate
615229,FL9036MOD1P4,100,12.5,SF,37.5,0,81516,63098,1,"",1,1,"","FLSH",555,45,true,"DT","A","",FL90-WHITE,3 X 6 X 0.31 IN,FINISH LINE,DB,PRC,FL90,3X6,BX,610,"",0,81516,63098,1,3,8.5,0.67,N,admin,admin,2026-01-15,2026-07-20,0,ORD-2026-1001,500,2026-12-31
42,LMN-999,12,10.0,PC,25.0,0,81516,63098,1,"",1,1,"","STND",100,30,false,"DT","A","",CLASSIC WHITE,12 X 12 IN,STANDARD SERIES,DB,PRC,CW12,12X12,BX,610,"",0,81516,63098,1,3,8.5,0.67,N,admin,admin,2026-01-10,2026-07-15,0,ORD-2026-1002,200,2026-09-15
100,ABC-12345,24,20.0,SF,50.0,0,81516,63098,1,"",2,2,"","ABC2",200,50,true,"DT","A","",NATURAL CLAY,6 X 6 X 0.38 IN,ABC COLLECTION,DB,PRC,NC06,6X6,BX,610,"",0,81516,63098,1,4,9.0,0.75,N,admin,admin,2026-01-20,2026-07-18,0,ORD-2026-1003,0,2026-10-01
1,SKU-001,12,12.0,BX,45.0,0,81516,63098,1,"",0,0,"","LIS1",50,40,true,"DT","A","",WHITE,8 X 8 IN,BASIC,DB,PRC,W8,8X8,BX,610,"",0,81516,63098,1,2,7.5,0.60,Y,admin,admin,2025-12-01,2026-07-10,0,ORD-2026-1004,150,2026-01-01
2,SKU-002,6,8.0,PC,30.0,0,81516,63098,1,"",1,1,"","LIS2",25,20,false,"DT","A","",BEIGE,4 X 4 X 0.25 IN,MOSAIC PLUS,DB,PRC,BG4,4X4,BX,610,"",0,81516,63098,1,3,8.0,0.70,N,admin,admin,2026-02-01,2026-07-12,0,ORD-2026-1005,75,2026-08-15
0,006144SP,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229367484,15765.500,2026-08-16
0,013536MOD1P4,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229740397,42000.000,2026-08-16
0,0148441P1,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229367482,15765.500,2026-08-16
0,0169441P1,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229367486,15765.500,2026-08-16
0,018236MOD1P2,0,0,"",0,0,0,0,0,"",0,0,"","",0,0,false,"","","","","","","","","","","",0,"",0,0,0,0,0,0,0,"","","","","",0,229367466,30436.000,2026-08-16
